,date,time,code,open,high,low,close,volume,amount,adjustflag
0,2016-01-04,20160104093500000,sz.000001,9.2925840000,9.3080716400,9.2616087200,9.2848401800,2125300,25480400.0000,2
1,2016-01-04,20160104094000000,sz.000001,9.2925840000,9.3080716400,9.2848401800,9.2848401800,1935400,23233700.0000,2
2,2016-01-04,20160104094500000,sz.000001,9.2770963600,9.2848401800,9.2383772600,9.2538649000,1971800,23588100.0000,2
3,2016-01-04,20160104095000000,sz.000001,9.2538649000,9.2616087200,9.2151458000,9.2228896200,2128500,25395600.0000,2
4,2016-01-04,20160104095500000,sz.000001,9.2228896200,9.2383772600,9.1996581600,9.2383772600,1712700,20389200.0000,2
5,2016-01-04,20160104100000000,sz.000001,9.2383772600,9.2383772600,9.1996581600,9.2228896200,1753800,20864008.0000,2
6,2016-01-04,20160104100500000,sz.000001,9.2228896200,9.2306334400,9.1764267000,9.1764267000,2664000,31649088.0000,2
7,2016-01-04,20160104101000000,sz.000001,9.1764267000,9.1764267000,9.1222199600,9.1299637800,2810200,33152608.0000,2
8,2016-01-04,20160104101500000,sz.000001,9.1377076000,9.1377076000,9.0447817600,9.0525255800,3806300,44638304.0000,2
9,2016-01-04,20160104102000000,sz.000001,9.0525255800,9.0680132200,9.0060626600,9.0680132200,3530600,41200992.0000,2
10,2016-01-04,20160104102500000,sz.000001,9.0680132200,9.1067323200,9.0680132200,9.0757570400,2232400,26189504.0000,2
11,2016-01-04,20160104103000000,sz.000001,9.0680132200,9.0989885000,9.0602694000,9.0835008600,1228800,14405312.0000,2
12,2016-01-04,20160104103500000,sz.000001,9.0757570400,9.0912446800,9.0292941200,9.0602694000,1938000,22650688.0000,2
13,2016-01-04,20160104104000000,sz.000001,9.0525255800,9.0912446800,9.0525255800,9.0757570400,843200,9881408.0000,2
14,2016-01-04,20160104104500000,sz.000001,9.0835008600,9.0912446800,9.0602694000,9.0602694000,1189700,13941696.0000,2
15,2016-01-04,20160104105000000,sz.000001,9.0602694000,9.0757570400,9.0525255800,9.0525255800,1040600,12176992.0000,2
16,2016-01-04,20160104105500000,sz.000001,9.0602694000,9.0602694000,9.0215503000,9.0370379400,1780100,20768992.0000,2
17,2016-01-04,20160104110000000,sz.000001,9.0370379400,9.0680132200,9.0292941200,9.0602694000,813900,9510720.0000,2
18,2016-01-04,20160104110500000,sz.000001,9.0602694000,9.0680132200,9.0447817600,9.0525255800,598100,6989792.0000,2
19,2016-01-04,20160104111000000,sz.000001,9.0525255800,9.0602694000,9.0292941200,9.0370379400,1058000,12358688.0000,2
20,2016-01-04,20160104111500000,sz.000001,9.0292941200,9.0370379400,8.9441121000,8.9828312000,4404100,51109504.0000,2
21,2016-01-04,20160104112000000,sz.000001,8.9828312000,8.9983188400,8.9595997400,8.9983188400,2031600,23551616.0000,2
22,2016-01-04,20160104112500000,sz.000001,8.9983188400,9.0370379400,8.9983188400,9.0215503000,1169800,13622880.0000,2
23,2016-01-04,20160104113000000,sz.000001,8.9983188400,9.0292941200,8.9828312000,8.9905750200,975100,11343584.0000,2
24,2016-01-04,20160104130500000,sz.000001,8.9828312000,9.0215503000,8.9750873800,8.9828312000,1526400,17719744.0000,2
25,2016-01-04,20160104131000000,sz.000001,8.9828312000,8.9983188400,8.9673435600,8.9750873800,885500,10270208.0000,2
26,2016-01-04,20160104131500000,sz.000001,8.9750873800,8.9905750200,8.9673435600,8.9828312000,1242400,14396864.0000,2
27,2016-01-04,20160104132000000,sz.000001,8.9828312000,8.9828312000,8.9828312000,8.9828312000,0,0.0000,2
28,2016-01-04,20160104132500000,sz.000001,8.9828312000,8.9828312000,8.9828312000,8.9828312000,0,0.0000,2
29,2016-01-04,20160104133000000,sz.000001,8.9828312000,9.0060626600,8.9595997400,8.9595997400,1523300,17669632.0000,2
30,2016-01-04,20160104133500000,sz.000001,8.9673435600,8.9673435600,8.7660042400,8.7660042400,4953000,56836544.0000,2
31,2016-01-04,20160104134000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
32,2016-01-04,20160104134500000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
33,2016-01-04,20160104135000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
34,2016-01-04,20160104135500000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
35,2016-01-04,20160104140000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
36,2016-01-04,20160104140500000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
37,2016-01-04,20160104141000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
38,2016-01-04,20160104141500000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
39,2016-01-04,20160104142000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
40,2016-01-04,20160104142500000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
41,2016-01-04,20160104143000000,sz.000001,8.7660042400,8.7660042400,8.7660042400,8.7660042400,0,0.0000,2
